Date as of,First week,Last week,State,County name,FIPS County Code,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes
10/28/2020,02/01/2020,10/24/2020,CO,Mesa County,8077,Small metro,20,1417
10/28/2020,02/01/2020,10/24/2020,CO,Montrose County,8085,Micropolitan,14,316
10/28/2020,02/01/2020,10/24/2020,CO,Morgan County,8087,Micropolitan,40,200
10/28/2020,02/01/2020,10/24/2020,CO,Pueblo County,8101,Small metro,37,1602
10/28/2020,02/01/2020,10/24/2020,CO,Weld County,8123,Medium metro,126,1316
10/28/2020,02/01/2020,10/24/2020,CT,Fairfield County,9001,Medium metro,1454,5927
10/28/2020,02/01/2020,10/24/2020,CT,Hartford County,9003,Large central metro,1443,7098
10/28/2020,02/01/2020,10/24/2020,CT,Litchfield County,9005,Micropolitan,134,1109
10/28/2020,02/01/2020,10/24/2020,CT,Middlesex County,9007,Large fringe metro,179,1074
10/28/2020,02/01/2020,10/24/2020,CT,New Haven County,9009,Medium metro,1104,6726
10/28/2020,02/01/2020,10/24/2020,CT,New London County,9011,Medium metro,117,1605
10/28/2020,02/01/2020,10/24/2020,CT,Tolland County,9013,Large fringe metro,47,520
10/28/2020,02/01/2020,10/24/2020,CT,Windham County,9015,Medium metro,14,633
10/28/2020,02/01/2020,10/24/2020,DC,District of Columbia,11001,Large central metro,783,5307
10/28/2020,02/01/2020,10/24/2020,DE,Kent County,10001,Small metro,110,1423
10/28/2020,02/01/2020,10/24/2020,DE,New Castle County,10003,Large fringe metro,292,4083
10/28/2020,02/01/2020,10/24/2020,DE,Sussex County,10005,Medium metro,194,2037
10/28/2020,02/01/2020,10/24/2020,FL,Alachua County,12001,Medium metro,228,2890
10/28/2020,02/01/2020,10/24/2020,FL,Bay County,12005,Small metro,141,1577
10/28/2020,02/01/2020,10/24/2020,FL,Brevard County,12009,Medium metro,361,5973
10/28/2020,02/01/2020,10/24/2020,FL,Broward County,12011,Large fringe metro,1707,13399
10/28/2020,02/01/2020,10/24/2020,FL,Charlotte County,12015,Small metro,153,2377
10/28/2020,02/01/2020,10/24/2020,FL,Citrus County,12017,Small metro,91,2157
10/28/2020,02/01/2020,10/24/2020,FL,Clay County,12019,Large fringe metro,118,1767
10/28/2020,02/01/2020,10/24/2020,FL,Collier County,12021,Medium metro,270,2987
10/28/2020,02/01/2020,10/24/2020,FL,Columbia County,12023,Micropolitan,82,805
10/28/2020,02/01/2020,10/24/2020,FL,Duval County,12031,Large central metro,644,8298
10/28/2020,02/01/2020,10/24/2020,FL,Escambia County,12033,Medium metro,343,3834
10/28/2020,02/01/2020,10/24/2020,FL,Flagler County,12035,Medium metro,43,1153
